S.no,Filename,Start Time,End TIme,Size,Altitude,,upper_left_latitude,upper_left_longitude,upper_right_latitude,upper_right_longitude,lower_left_latitude,lower_left_longitude,lower_right_latitude,lower_right_longitude,projection,Area
1406,ch2_tmc_ncn_20221127T1313362113_d_img_d32.zip,2022-11-27T13:13:36.211Z,2022-11-27T13:21:34.430Z,1182248000,118.63,View,44.723498,156.185765,44.733384,157.165807,68.819342,154.775813,68.838648,156.823082,Selenographic,Equatorial
1407,ch2_tmc_nca_20220125T2307105422_d_img_d18.zip,2022-01-25T23:07:10.542Z,2022-01-25T23:22:16.902Z,2240688000,96.15,View,-72.591691,44.467308,-72.572153,47.201599,-61.207064,-135.472737,-61.198494,-136.936659,Selenographic,Equatorial
1408,ch2_tmc_nca_20211214T1729454092_d_img_d32.zip,2021-12-14T17:29:45.409Z,2021-12-14T17:44:11.838Z,2141968000,79.53,View,-59.991473,59.50063,-60.01398,60.792256,-15.069718,60.672188,-15.084149,61.28578,Selenographic,Equatorial
1409,ch2_tmc_ncn_20211226T2103295074_d_img_d18.zip,2021-12-26T21:03:29.507Z,2021-12-26T21:22:48.799Z,2865976000,79.08,View,-61.642934,-100.238191,-61.621991,-101.563764,-1.629363,-99.115323,-1.621496,-99.63162,Selenographic,Equatorial
1410,ch2_tmc_nca_20221130T1411304128_d_img_n18.zip,2022-11-30T14:11:30.412Z,2022-11-30T14:19:20.814Z,1163840000,113.34,View,46.422768,117.141496,46.419172,118.241009,70.39499,116.88471,70.385394,119.274875,Selenographic,Equatorial
1411,ch2_tmc_ncf_20220603T0601364611_d_img_d32.zip,2022-06-03T06:01:36.461Z,2022-06-03T06:28:07.537Z,3933376000,123.52,View,49.707932,153.565272,49.659894,154.785918,-30.238128,150.971141,-30.329824,152.002559,Selenographic,Equatorial
1412,ch2_tmc_nca_20220527T0134064246_d_img_d18.zip,2022-05-27T01:34:06.424Z,2022-05-27T01:54:10.476Z,2976632000,121.4,View,33.915736,-112.365988,34.049133,-111.27948,-27.025077,-109.853513,-26.846594,-108.883327,Selenographic,Equatorial
1413,ch2_tmc_nca_20211114T1039153730_d_img_d18.zip,2021-11-14T10:39:15.373Z,2021-11-14T10:50:05.550Z,1607360000,93.36,View,-46.476319,99.207781,-46.490825,100.216845,-13.147117,99.964479,-13.157234,100.678386,Selenographic,Equatorial
1414,ch2_tmc_ncf_20210524T1512098273_d_img_d18.zip,2021-05-24T15:12:09.827Z,2021-05-24T15:21:40.904Z,1411808000,114.1,View,-59.146265,51.946018,-59.111777,53.57921,-87.714445,57.614714,-87.511253,75.170535,Polar stereographic,South
1415,ch2_tmc_nca_20220101T0110303545_d_img_d18.zip,2022-01-01T01:10:30.354Z,2022-01-01T01:29:45.546Z,2855840000,79.07,View,-63.090407,-165.472568,-63.101636,-166.990933,-2.931618,-166.621369,-2.935828,-167.219546,Selenographic,Equatorial
1416,ch2_tmc_nca_20200118T1731219963_d_img_d18.zip,2020-01-18T17:31:21.996Z,2020-01-18T17:41:08.875Z,1450872000,90.2,View,-33.963986,-123.194181,-33.952062,-124.064494,-3.743225,-122.862535,-3.734281,-123.52599,Selenographic,Equatorial
1417,ch2_tmc_ncn_20220701T1128212269_d_img_d32.zip,2022-07-01T11:28:21.226Z,2022-07-01T11:38:13.217Z,1463504000,109.68,View,61.209044,141.597333,61.198351,140.132228,31.245081,141.499629,31.241017,140.637271,Selenographic,Equatorial
1418,ch2_tmc_nca_20221128T0856469820_d_img_d32.zip,2022-11-28T08:56:46.982Z,2022-11-28T09:04:32.266Z,1152456000,119.41,View,46.622817,145.361217,46.63337,146.514636,70.178962,143.865752,70.19977,146.340959,Selenographic,Equatorial
1419,ch2_tmc_nca_20211116T1726139934_d_img_d18.zip,2021-11-16T17:26:13.993Z,2021-11-16T17:36:43.586Z,1556472000,101.61,View,-88.61075,-49.328683,-89.182121,-76.960211,-58.708721,68.30953,-58.728083,69.744239,Polar stereographic,South
1420,ch2_tmc_ncf_20200720T0726007861_d_img_d18.zip,2020-07-20T07:26:00.786Z,2020-07-20T07:36:38.209Z,1577112000,114.31,View,-27.010211,157.167146,-27.007592,156.212508,-58.995535,157.466819,-58.993111,155.814441,Selenographic,Equatorial
1421,ch2_tmc_nca_20210514T1001493903_d_img_d18.zip,2021-05-14T10:01:49.390Z,2021-05-14T10:11:40.228Z,1460664000,104.02,View,-55.889627,-174.707421,-55.885589,-173.225259,-85.904348,-178.111565,-85.883562,-167.435759,Polar stereographic,South
